	micha-ii-48	fr111-ii-48	sommer--ii-48	lanzarote-ii-48	inc-ii-48	fr751-ii-48	lancellotto-ii-48
38|39|40|41|42	et ele crioit |quanque ele pooit crier |por els |qui li faisoient tel honte et tel laidure |qu’il la venoient batant tot contreval la riviere. 	et elle crioit tant |quelle pouoit crier pour ceulx |qui luy faisoient tel honte et telle laidure |qui la uenoient batant tout contreual la riuiere. 	Et elle crioit|quamque elle pooit por chiaus |qui li faisoient tel laidure. |quar il lenmenoient tot contreual la riuiere batant 	e ella daua vozes |quanto podia dar |e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar 	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ |et la menoient batant contre ual la riuiere.	et ele crioit |quantque le pooit crier. |por ciax |qui li fasoient tele honte. et tel laidure |que il la menoient batant tout contrtual la riuiere t 	Ed ella grida |quanto ch’ella può gridare per coloro |che-lle facieno cotale onta e tal ladiura, |ch’elli la menavano battendo tutto contravalle la riviera. 
43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	Et quant elle vit le cheualier de lautre part de laigue. 	e quando la donçella vio a bores dela otra parte del agua 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier 	quant la damoisele uoit le cheualier dautre part la riuiere. 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 
44	si commence a crier: « 	si luy commence a crier 	si li commenche a crier. 	començo a dar vozes 	et dire en tell maniere 	si li comance a crier. 	si gli comincia a gridare: 
45	Ha, gentilz chevaliers, secorés ceste damoisele 	haa gentili cheualier secourez ceste damoisele 	Ha : gentils homs |quar secoures ceste damoisele 	e a deçir ay jentil cauallero acorred a esta donçella 	Haa beau|et gentil cheualier secoures ceste damoiselle 	ha: gentis cheualiers secores ceste damoisele 	Hal, gentile huomo, soccorete questa damigella 
46	que cist ribaut vuelent ocirre. 	que ces ribaux ueulent occire. 	que cist ribaut voelent ochirre. 	que estos Ribaldos me quieren ansi matar 	que ces ribaulx ueullent occire/ 	que ciz ribaut wellet ocire. 	che questi rubaldi vogliono uccidere! 
47|48|49|50	Ha, frans hom, |ne m’i laissiés morir, |se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	Haa franc homme ne me lessez mourir |si uous eustes onc pitie de nulle gentilz damoisele. |quant boort ouy celle 	Pour dieu |ne mi laissies ore mie morir. |se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame |Quant bohors oy 	ay buen cauallero |si nunca oviste piedad de donçella auelda agora de mi 	haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. |et se uous pitie de moy |car se uous ne me secoures ie suys a la mort liurer. |Et quant boort ouyt 	ha; frans hons ne mi laissiez morir |se uos eutes onques pitie de franche damosele. |quant boh̾. oit cele 	Hal, franco cavaliere, non mi lasciate uccidere, |se voi unque aveste piatà di nulla gentile damigella». |“Quando Boordo ode colei 
51|52	qu’ele li prie |si pitousement 	qui le prie si piteusement 	que la damoisele li prioit si piteusement de li secorre 	e no me dexedes asi morir Quando boores oyo 	quelle le prioit si piteusement 	que si piteusement lapele 	che l priega si piatosamente 
53|54	qu'il la secore, |si ne set que fere, 	quil la sequeure il ne scait |que faire 	si One sot|que faire 	lo que la donçella deçia no supo que façer 	si ne scait |que faire 	et li prie |quil la sekeure. Sire set |que faire. 	che-lla soccorra, |si non sa|che fare, 
55|56	kar volentiers li aidast |s’il peust; 	car uoulentiers luy alast aider sil peust 	quar volentiers li alast aidier |sil peust estre 	ca muy de grado la quisiera acorrer si pudiese 	car uoulentiers luy allast aider |se il peult estre/ 	car uolentiers li alait aidier |se il poist. 	ché volentieri l’andasse ad atare |se potesse, 
57|58	mais il voit l’eve noire et parfonde |et si perilluse 	mais il uoit leaue parfonde noire et perilleuse 	mais il voit laigue parfonde et perillouse et noire. 	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	mes il uoit la riuiere parfonde et dangereuse a passer. 	Mais il uoit leue si parfonde et si perilleuse 	ma e vede l’acqua nera e profonda e perigliosa 
59	qu’il cuide bien noier, 	que il cuide bien mourir 	si quide bien morir		et scait bien |sil entre dedens	que il cuide bien perir 	che crede bene morire 
60	s’il se met dedens; 	sil si mect dedans. 	se il si met 	si se y Metiese 	qu il se met en peril de mort. 	se il se met dedans. 	s’elli|si mette di dentro; 
61	et d'autre part il voit cele 	Et dautre part il uoit celle 	Et dautre part voit il cels 	e dela otra parte veya la donçella 	Et daultre part il uoit celle 	et dautre part il uoit cele	e d’altra parte e vede colei 
62	qui si durement crie merci; 	qui si fort luy crie mercy. 	qui si piteusement li crie merci. 	que muy afincada mente le pedia merçed 	qui si piteusement fui crie mercy. 	qui si docemet li prie nc .ci. 	che|si duramente gli grida mercé, 
63	si l'em prent tels pitiés 	si luy en prent telle pitie 	si len prent tele pities 	e ovo tal piedad della 	Si luy en prent telle pitie 	Si len prent tes pitiez	si ne gli prende tale piatà 
64	qu’il en laisse totes poors 	quil en laisse toute paour. 	quil en laisse toute paour 	que le fiço todo el miedo perder 	quil en laisse toute paour 	quil en laisse totes paours. 	che ne lascia tutte paure 
65	et fet le signe de la crois en mi son vis, 	si en fait le signe de la croix enmy son uis. 	et met le signe de la vraie crois en mi son front |et en mi son pis. 	e fiço la señal dela cruz sobre si 	et fait le signe de la croix deuant son uisaige 	Si fait le signe de la crois enmi son uis. 	e si fa el segno della santa croce nel miluogo del suo viso, 
66|67|68|69|70	puis enbrace l’escu |et broche le cheval des esperons |et se fiert en l’eve. |Et li chevals fu fors,|si commence a noer 	puis embrace lescu |et broche le cheual des esperons |et se fiert erraument en leaue. |et le cheual fu fort |si commence a nouer si tost 	puis enbrace son escu et fiert le cheual des esperons |et se lance en laigue. |Et li cheuaus commence a noier: 	e enbraço el escudo |e firio al cauallo de las espuelas |e lanço se en el agua e el cauallo començo de nadar luego 	puys embrache son escu |et fiert son cheual des esperens |et se lanche dedens leaue tout erraument: |et le cheual commence a noer 	puis enbrace lescu. |et broche le cheual des esperons|et se fiert en leue tot errantment. |Et li cheuaus fu fors|si comance a noer 	poscia imbraccia lo scudo |e broca il cavallo degli sproni, |si fiede nell’acqua isnellamente. El cavallo fu forte, incominciò a notare 
71	si tost com il ot terre perdue, 	quil eut terre perdue 	si tost |quil a terre perdue. 	e perdio tierra en tal manera 	si tost |quil eust terre perdue. 	si tost com il ot terre perdue 	si tosto com'elli ebbe terra perduta, 
72|73	si l’enporte d’autre part de la rive a quelque paine, |mais ançois ot beu de l’eve li uns et li autre, 	si lemporte de lautre part de ma riue a quelque peine. |mais ancois eut beu de leaue lun et lautre. 	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns et li autres. 	que paso dela otra parte del agua |mas ante beuio el cauallo del agua 	et sen passe le cheual iusques de laultre part de leaue |mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	si lenporte dautͤ part la riue a quelque painne. 	si ne l portò d’altra parte della riva a qualche pena, |'ma inanzi furono amenduni tutti molli, 
74|75	et se li chevals ne fust si buens, |noié fuissent ambedui, 	et se le cheual ne eust este si bon ilz fuszent tous deux noyez. 	Et se li cheuaus ne fust si boins noie fussent ambedui 	e si el caballo tan bueno no fuera sin dubda |el moriera enel agua 	et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre 		e se l cavallo non fosse stato si forte, anegati fossono amenduni, 
76	kar li chevaliers estoit pesans por les armes 	car le cħlr estoit pesant pour les armes 	Car li cheualiers estoit pesans pour lez armes	e boores |porel peso delas armas 	car le cheualier estoit fort pesant pour les armes 		ché l cavaliere era pesante per l’arme 
77	qu’il avoit vestues. 	quil auoit uestues 	quil auoit uestues 	que llebaua 	quil auoit uestues. 		ch’elli avea vestite. 
78|79	Quant il fu de l’autre part de l’eve, |si ne descendi pas, 	Quant il fu de lautre part de leaue |si ne descendy pas. 	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre |ainsi que vous poes oir.|si ne descendi mie 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	Quant il fut de lautre part de leaue |si ne descendist oncques 	Si ne descendi pas	Quand’e fu da l’altra parte dell’acqua, |si non discende passo,
80	ains cort vers cels 	ains court uers ceulx 	ains cort sus a chiaus 		ains courust uers ceulx 	ains cort uers ciax 	anzi muove il cavallo inverso di coloro 
81	qui la damoisele tenoient 	qui tenoient la damoisele 	qui la damoisele tenoient 		qui la damoiselle tenoient: 	qui la damoisele renoient 	che lla T tenieno 
82	et fiert si le premier 	et fiert si fort le premier	si fiert le premier 	e firio al primero 	et fiert tellement le premier 		e fiede si il primaio 
83	qu’il aconsieut 	quil actaint 	quil encontre si durement 	que encontro en tal manera 	quil encontre 	que il consieut 	ch’elli agiugne 
84|85|86	qu’il li met le glaive par mi le cors, |si l’abat a terre, |et li autre s’enfuient erraument 	quil luy mect le glaiue parmy le corps |si labat a terre |et les autres senfuyent erraument 	quil li met le glaiue parmi le cors si labat a la terre. |Et li autre senfuient pour chou 	que le metio la lança porel cuerpo |e los otros dos 	qu il lui met le glauie parmy le corps |si labat a terre et les autres se met tent en fuite. La damoiselle 	quil li met le glaiue parmi le cors |si labat mort aterre. |et li autre sen fuient |porre 	che gli mette la lancia per me' il corpo, |si-llo abatte a terra, |e gli altri se ne fugono tosto per ciò 
87|88|89|90|91|92|93|94	por ce que desarmé estoient. |Et la damoisele|qui delivree se voit se met a genols devant Boort |et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, |quant vos m’avés de mort rescosse, |et aorés en soit Diex, |quant il ceste part vos amena, 	par ce qͥlz estoient desarme.|Et la damoisle |qui se uoit deliure se mect a genoux deuant boort. |Haa gentilz cheualier fait elle. de dieu soyez uous beneist dont uous mauez de mort rescousse |et aoure en soit dieu |dont il uous amena ceste part. 	que desarme estoient. |Et la damoisele |qui deliure se uoit. se met maintenant a genouls deuant bohort |et dist.|ha: gentiex cheualiers de dies oess vous beneois |quar vous maues de mort rescousse. |Et aoures en soit diex |quant il ceste part vous amena. 	que aquello vieron fuyeron luego por miedo de no ser muertos |ca todos estauan desarmados |e la donçella desque aquello vido finco los ynojos ante boores |e dixo |ay jentil cauallero vendito seades de dios que asi me librastes de muerte |e bendito sea dios |que aqui vos traxo 	qui deliuree se sent se met a genoulx deuant lui |et lui dit. |Haa gentil cheualier de dieu soiez uous benoit: |car ces gloutens me eussent occiz |se ne feussez uous. Damoiselle fait il 	qu il estoient desarme. et la damaisele|qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. |quant uos mauez de mort rescoce. |et aoures soit diex |quant ils amena ceste part. 	che disarmati erano. |E la damigella, |che si vide dilivera, |si mette a ginocchia davanti Boordo: |Hal, gentile cavaliere, diss’ella, |da Dio siate vo' benedetto |quando vo m’avete di morte riscossa, e adorato ne sia lddio |quand’elli in queste parti vo menò, 
95	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	Car ces gloutons meussent ia occise |se uous ne fussez Damoisele fait il 	Car cist glouton meussent morte 	que estos villanos me hubieran muerto |si por vos no fuera donçella 		Car cil gloton meussent ia morte 	ché questi guiglioni m’avessono già morta, |se vo' non foste. 
96	por quoi ? — Sire fet ele, jel vos dirai bien, 	pour quot. Sire fait elle ie le uous diray bien. 	se vous ne fuissies. Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien. 	dixo boores |Por que señor dixo ella 	pour quoy. Sire fait elle ie le uous diray 	ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. 	— Damigella, disse Boordo, |perché? -Il vo dirò, diss’ella, bene, 
97|98	mais|que vos m’aiés mise a sauveté. — 	mais que uous mayez mise a sauuete 	mais que vous maies mise a sauuete 	yo vos lo dire |mas ante conuiene |que non aya miedo de ninguno 	mais que uous me aiez mise a sauuete. 	mais que uos maiez misse a Sauuete. 	ma' che vo' m’abiate messa a salvamento. 
99|100|101	Coment ? fet il. Avés vos dont garde ? — |Certes, fet ele, ja asseur ne seraî fant |com je sache laiens le seignor del chastel, 	Comment fait il auez uous donc garde. |Certes sire fait elle ia ne seray asseuree tant que ie sache. |qui est le seigneur de ce chastel leans 	Comment fait il |aues vous encore paour. Sire fait elle ia asseuree ne serai tant |que iou y sache le seignor del chastel :	Donzella dixo boores |de quien auedes miedo |señor dixo ella 	Comment fait il auez uous donc paour. Sire fait elle ia seure ne seray |tant que ie sache leans le seigneur de ce chasteau/ 	Coument fait il auez uos dont garde. |Certes sire faic ele ia a seur ne sera tant |com ie saiche laiens le signeur de cest chastel. 	— Come, disse elli, avete vo' dunque guardia? - |Certo, sire, diss'ella, già sicura non sarò |tanto |com’io sappia là entro il signore del castello, 
102	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	car cest le plus fel cheualier du monde. |Coment boort se combaty pour la damoisele. 	quar cest li plus fel cheualiers del monde et li plus desloiaus. ches paroles voient. j. cheualier issir du castel. 	del señor del castillo ca es el mas follon omne de todo el mundo 	car cest le plus fel cheualier du monde et le plus cruel Ces parolles uoient issir ung cheualier du chasteau: 	Car cest li plus fel cheualiers dou monde |et li plus traites. 	ché ciò è il più fiero cavaliere del mondo e I più traditore». A queste parole vidono uscire un cavaliere del castello, 
						a ces paroles uoit issir un cheualier del chastel. 	
		A cest parole voyent yssir ung cheualier du chastel 					
103|104	et la ou il vit Boort, |si li escrie : « Laissiés, dans chevaliers, la damoisele	et la |ou il uoit boors |si luy crie laissez sire cheualier la damoisele 	Et la ou il voit bohors. |si li escrie dans cheualiers laissies ester la damoisele 	e mas cruel |Ellos asi fablando vieron salir del castillo vn caballero 	et la ou il uoit boort il lui escrie. Cheualier laissez la damoiselle 	et la |ou il uoit behort |si li est terre. Laissiez dans cheualiers la damoisele 	e là |ov’egli vide Boordo |si-llo isgrida: «Danzi cavaliere, lasciate la damigella, 
105|106	que vos n’enmenrois mie! |Par mon chief, mar le rescosistes!» 	que uous nemmennerrez pas. par mon chief mal la rescoussistes. 	quar vous ne lenmenrois pas |et par mon chief mar le rescousistes 	e quando vido a boores començo le a dar boçes |e a deçir don cauallero a dexar vos conuiene la donzella 	et par mon chief mal la rescouistes. Boort lentent 	que uos nen meneroie et par mon chief mar la rescousites. 	ché vonon la menere mica, |e per mio capo male la riscoteste!». 
107	Si li cort 	si luy court sus 	quar vous le comperres 	ca la non lleuaredes 	si lui court tant 	Si li acort 	Si gli corre suso 
108	quanqu’il puet le glaive alongié; 	tant comme il puet le glayue esloigne. 	se iou puis moult chier. 	e porla my cabeza |ental Punto la acorristes 		quanquil puet le glaiue alongnre. 	quanto ch’elli puote, la lancia islungata,
		Et boort le firrt si fort a son uenir 					
		que lescu ne le haubert ne le garantist 					
		quil ne luy mecte fer					
109	et Boors retrait son glaîve a lui del cors a celui 	et fust parmy le corps. |Et cil cheit a terre tout estandu	Et quant bohors lentent si point vers lui 	e luego se dexaron correr el vno contra el otro |e boores lo firio conla lança 		et behors retrait son glaiue del cors au ribaut 	e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce 
110|111	qu’il avoit ocis; |si laisse le cheval corre 	car plus na mestier de mire. |Et quant ceulx du chastel uoyent leur cheualier ainsi abatu |si luy en enuoyent incontinant ung autre pour uenger celuy |qui dist a boort |quil se gardast de luy |quil le deffioit. |et il dist |quil le desfie aussi. |Lors trait son glayue du corps a celuy |quil auoit occis. |si luy laisse aller le cheual 	quanque il pot del cheual traire le glaiue alongie |quil auoit trait del cors a celui |quil auoit ochis. 	que auia sacado del cuerpo del villano 	qu il peut du cheual traire le glaiue allongnie 	que il auoit ocis. |Si li laisse le cheual. 	che non gli metta per me' il corpo e ferro e fusto, |e que' cade a terra tutto isteso|che più nonn-à mestier di medico. |E quando que del castello vidono insi lor cavaliere abatuto, |si ve ne rimandarono immantanente uno altro per quello vendicare, |che disse a Boordo |che ssi guardi da- llui, 
112	et le fiert si tres durement 	et le fier si fort 	Si fiert celui si durement 	que auia muerto en tal manera 	et le fiert si durement 	et le fiert si durement	ch’elli il disfida, |ed e' dice 
							che disfida lui. PAllora trae la lancia del corpo a colui 
							ch’elli avea morto, 
							si lascia il cavallo andare e l fiede si duramente 
113	qu’il l’abat a terre si estordi 	quil labat a terre si estourdy 	quil labat a terre |si estordi	que dio conel Porlas ancas del cauallo a tierra asi estordido 	quil labat a terre si estourdy 	quil labat a terre si estordi 	ch’elli Il’labatte a terra si stordito 
114|115|116	qu’il n’a pooir de relever, |ains gist pasmés, |kar il chai si felenessement 	quil na pouoir de se releuer. |ains gist pasme |car il fu cheu si felonnessement 	quil not pooir de lui releuer. |Ains iut illueques tous pasmes |quar il cai si felenessement 	que non se pudo leuantar |asi estaua amorteçido dela cayda 	qu il na pouoir de soy releuer:	que cil na pooir de releuer.|Ains fu pasmes. |Car il fu cheus si uilainnement 	che non à podere di sé rilevare, |anzi giace ispasimato, |ché fu caduto si fellonosamente 
117|118|119	qu’a poi que la canole del col n'avoit brisee. |Et Boors li vet a cheval |par desus le cors tant que tot le debrise. 	qua ponu |que la chanole du coul ne luy eftoit brise. |Et boort luy uait a cheual par dessus le corps |tant que tout le debrise. 	que a poi que la canoele del col ne li est brisie. |Et bohors li uait tout a cheual par desus le cors |Si que tout le debrise. 	que las coyunturas del pescuezo tenia quebradas |e boores traxo tantas vezes el cauallo sobre el Que todo lo quebranto 	et booit lui ua par dessus le col a cheual |tant que tout le debrise. 	qua pou quil not la chenole dou col bͥsie. |et behors li ua a cheual par desus le cors. |tant que tout le debrisse. 	che a poco che non si ruppe il collo, |e Boordo gli va cavalcando per di suso il corpo |tanto che di tutto il dibriscia. 
120	Et lors est la damoisele si liee 	et lors est la damoisele si liee 	Et lors est la damoisele |si lie 	e la donçella |que aquello vido fue muy alegre 	Et boort a tant la damoiselle esiouye 	et lors est la damoisele si lie 	Allora est la damigella si lieta 
121	qu’ele ne puet plus 	quelle ne puet plus 	que plus ne puet. 	que mas no lo podia ser 	que elle ne peut plus: 	que ele ne puet plus. 	ch’ella non può più, 
122	et dist a Boort : « Sire, nos n’avons mes garde,	et dist a boort. |sire nous nauons mais garde 	Si dist a bohort sire nous nauons hui mes garde. 	e dixo a boores |señor agora non auedes aqui deque vos mas guardar ca eneste castillo no auia 	et dit a boort. Sire nous nauons mes garde:	et dit a beh̾. Sire fait ele nous nauons |mais garde ce cuige. 	e disse a Boordo: |Sire, non no abiamo oggimai guardia, 
123|124|125|126	kar je ne cuit |qu’il eust plus de chevaliers çaiens |que cestui;|si vos dirai ore seurement ce 	car ie cuidoie |quil y eust leans plus de cheualiers |quil ny a |Si uous diray seurement ce 	Car iou quit |quil ni a plus de cheualiers laiens que cestui. |Si vous dirai ce 	mas deste cauallero segund cuydo |e agora os direlo 	car ie ne cuide point |qu il y ait plus de cheualiers leans |que cestui |si uous diray seurement ce 	Car ie ne cuit |quil ait mais cheualier laiens plus que cestui. |Si uus dirai ore seurement ce 	ch’io non credo mica |ch’egli abbia là entro più cavalieri |che questi, |si vi dirò ora sicuramente ciò 
