47|48	Ha, frans hom, |ne m’i laissiés morir, 	Hal, franco cavaliere, non mi lasciate uccidere, 	45
49	se vos onques eustes pitié de nule gentil damoisele !» 	se voi unque aveste piatà di nulla gentile damigella». 	46
50	Quant Boors ot ce 	“Quando Boordo ode colei 	47
51|52	qu’ele li prie |si pitousement 	che l priega si piatosamente 	48
53	qu'il la secore, 	che-lla soccorra, 	49
54	si ne set que fere, 	si non sa|che fare, 	50|51
55	kar volentiers li aidast 	ché volentieri l’andasse ad atare 	52
56	s’il peust; 	se potesse, 	53
57|58	mais il voit l’eve noire et parfonde |et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 	54
59	qu’il cuide bien noier, 	che crede bene morire 	55
60	s’il se met dedens; 	s’elli|si mette di dentro; 	56|57
61	et d'autre part il voit cele 	e d’altra parte e vede colei 	58
62	qui si durement crie merci; 	che|si duramente gli grida mercé, 	59|60
63	si l'em prent tels pitiés 	si ne gli prende tale piatà 	61
64	qu’il en laisse totes poors 	che ne lascia tutte paure 	62
65	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce nel miluogo del suo viso, 	63
66	puis enbrace l’escu 	poscia imbraccia lo scudo 	64
67	et broche le cheval des esperons 	e broca il cavallo degli sproni, 	65
68|69	et se fiert en l’eve. |Et li chevals fu fors,	si fiede nell’acqua isnellamente. El cavallo fu forte, incominciò a notare 	66
70	si commence a noer 		
71	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra perduta, 	67
72	si l’enporte d’autre part de la rive a quelque paine, 	si ne l portò d’altra parte della riva a qualche pena, 	68
73	mais ançois ot beu de l’eve li uns et li autre, 	'ma inanzi furono amenduni tutti molli, 	69
74|75	et se li chevals ne fust si buens, |noié fuissent ambedui, 	e se l cavallo non fosse stato si forte, anegati fossono amenduni, 	70
76	kar li chevaliers estoit pesans por les armes 	ché l cavaliere era pesante per l’arme 	71
77	qu’il avoit vestues. 	ch’elli avea vestite. 	72
78	Quant il fu de l’autre part de l’eve, 	Quand’e fu da l’altra parte dell’acqua, 	73
79	si ne descendi pas, 	si non discende passo,	74
80	ains cort vers cels 	anzi muove il cavallo inverso di coloro 	75
81	qui la damoisele tenoient 	che lla T tenieno 	76
82	et fiert si le premier 	e fiede si il primaio 	77
83	qu’il aconsieut 	ch’elli agiugne 	78
84	qu’il li met le glaive par mi le cors, 	che gli mette la lancia per me' il corpo, 	79
85	si l’abat a terre, 	si-llo abatte a terra, 	80
86	et li autre s’enfuient erraument 	e gli altri se ne fugono tosto per ciò 	81
87	por ce que desarmé estoient. 	che disarmati erano. 	82
88	Et la damoisele	E la damigella, 	83
89	qui delivree se voit se met a genols devant Boort 	che si vide dilivera, |si mette a ginocchia davanti Boordo: 	84|85
90	et dist: « 		
91	Ha, gentils chevaliers, de Dieu soiés vos beneois, 	Hal, gentile cavaliere, diss’ella, |da Dio siate vo' benedetto 	86|87
92|93	quant vos m’avés de mort rescosse, |et aorés en soit Diex, 	quando vo m’avete di morte riscossa, e adorato ne sia lddio 	88
94	quant il ceste part vos amena, 	quand’elli in queste parti vo menò, 	89
95	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	ché questi guiglioni m’avessono già morta, |se vo' non foste. 	90|91
96	por quoi ? — Sire fet ele, jel vos dirai bien, 	— Damigella, disse Boordo, |perché? -Il vo dirò, diss’ella, bene, 	92|93
97|98	mais|que vos m’aiés mise a sauveté. — 	ma' che vo' m’abiate messa a salvamento. 	94
99	Coment ? fet il. Avés vos dont garde ? — 	— Come, disse elli, avete vo' dunque guardia? - 	95
100	Certes, fet ele, ja asseur ne seraî fant 	Certo, sire, diss'ella, già sicura non sarò 	96
101	com je sache laiens le seignor del chastel, 	tanto |com’io sappia là entro il signore del castello, 	97|98
102	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	ché ciò è il più fiero cavaliere del mondo e I più traditore». A queste parole vidono uscire un cavaliere del castello, 	99
103	et la ou il vit Boort, 	e là |ov’egli vide Boordo 	100|101
104	si li escrie : « Laissiés, dans chevaliers, la damoisele	si-llo isgrida: «Danzi cavaliere, lasciate la damigella, 	102
105	que vos n’enmenrois mie! 	ché vonon la menere mica, 	103
106	Par mon chief, mar le rescosistes!» 	e per mio capo male la riscoteste!». 	104
107	Si li cort 	Si gli corre suso 	105
108	quanqu’il puet le glaive alongié; 	quanto ch’elli puote, la lancia islungata,	106
109	et Boors retrait son glaîve a lui del cors a celui 	e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce 	107|108
110	qu’il avoit ocis; 	che non gli metta per me' il corpo e ferro e fusto, |e que' cade a terra tutto isteso	109|110
		che più nonn-à mestier di medico. 	111
		E quando que del castello vidono insi lor cavaliere abatuto, 	112
		si ve ne rimandarono immantanente uno altro per quello vendicare, 	113
111	si laisse le cheval corre 	che disse a Boordo |che ssi guardi da- llui, 	114|115
112	et le fiert si tres durement 	ch’elli il disfida, |ed e' dice 	116|117
		che disfida lui. PAllora trae la lancia del corpo a colui 	118
		ch’elli avea morto, 	119
		si lascia il cavallo andare e l fiede si duramente 	120
113	qu’il l’abat a terre si estordi 	ch’elli Il’labatte a terra si stordito 	121
114	qu’il n’a pooir de relever, 	che non à podere di sé rilevare, 	122
115	ains gist pasmés, 	anzi giace ispasimato, 	123
116	kar il chai si felenessement 	ché fu caduto si fellonosamente 	124
117	qu’a poi que la canole del col n'avoit brisee. 	che a poco che non si ruppe il collo, 	125
118	Et Boors li vet a cheval 	e Boordo gli va cavalcando per di suso il corpo 	126
119	par desus le cors tant que tot le debrise. 	tanto che di tutto il dibriscia. 	127
120	Et lors est la damoisele si liee 	Allora est la damigella si lieta 	128
121	qu’ele ne puet plus 	ch’ella non può più, 	129
122	et dist a Boort : « Sire, nos n’avons mes garde,	e disse a Boordo: |Sire, non no abiamo oggimai guardia, 	130|131
123	kar je ne cuit 	ch’io non credo mica 	132
124	qu’il eust plus de chevaliers çaiens 	ch’egli abbia là entro più cavalieri 	133
125	que cestui;	che questi, 	134
126	si vos dirai ore seurement ce 	si vi dirò ora sicuramente ciò 	135
127	que vos me demandastes n’a encor gaires. — 	che voi mi domandaste. 	136
128	Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	— Dite, diss’elli. |— laPer fé, diss’ella, intra me e uno cavaliere 	137|138
129	qui mes amis estoit chevalchions hui matin par mi cest chastel 	che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 	139
130	et quant li freres a celui 	e quando il fratello di colui 	140
131	que vos avés abatu me vit, 	che voi avete ora abatuto mi vide, 	141
132	si me volt a force prendre, 	si mi volle a forza prendere, 	142
133	kar il m’avoit molt longuement amee; 	ché m’avea lungamente amato; 	143
134	si me prist al frain 	simmi prese al freno 	144
135	et m’en volt mener a force, mes mes amis se combati a lui 	e mi volle menare a forza, |ma mio amico si combatté tanto a-llui 	145|146
136	tant 		
137	qu’il l’ocist. 	che-ll’ucise. 	147
138|139	Et|quant cist 	ME quando questo 	148
140	que vos veez ci ore vit son frere mort, 	che voi avete qui ora abatuto vide suo fratello morto, 	149
141	si fist mon ami prendre a force de vilains et de gens 	si fece mio amico prendere a forza di villani e di genti, 	150
142	et l’ocist en venjance de son frere. 	e l’uccise in vendicanza di suo fratello.	151
143	Mais de moi, 	Ma di me, 	152
144	por cui Ses freres avoit esté ocis, dist il 	per cui suo fratello avea stato morto, diss’elli 	153
145	qu’il se vengeroit sans main metre;	che-ssi vendicherebbe sanza in me mettere mano, 	154
146	si me fist prendre a ces ribaus 	si mi fece prendere a nfino a tre l rubaldi 	155
147	que vos veistes 	che vo' vedeste 	156
148	et lor commanda 	e loro comandò 	157
149	qu’il me noiaissent, « 		
150|151	kar par armes, dist il, |ne vueil je mie 	che m’anegassono, ché per mano di persona, diss’elli, non voglio 	158
152|153	qu’ele muire » ; |si m'enmenoient, 	ch’ella muoia». i-mmi menavano, 	159
154	si com vos veistes, morir 	insi come vo vedeste, |per fare morire, 	160|161
155	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quando vo mi veniste a soccorrere per la volontà di Dio e della vostra. 	162
156	Or vos ai conté mon errement ; 	Or vo ho contato tutta mia ventura, 	163
157	si voldroie des Ore mes, 	si vo vorre' da oggimai, 	164
158	se vostre plaisirs estoit, 	se vostro piacere fosse, pregare 	165
159	que vos me menissois a salveté en un mien chastel 	che vo' mi conduceste a salvamento in uno mio castello 	166
160	qui est ci pres. — Volentiers », fet il. 	ch’è qui presso. |— Volentier. disse elli». 	167|168
161	Si le prent par les bras 	Si-lla prende per lo braccio 	169
162	et le monte par devant lui sor le col de son cheval, 	e la monta davanti a sé sopra il corpo di suo cavallo, 	170
163	si a geté son escu derieres son dos, 	si getta suo scudo di dietro suo dosso, 	171
164	si s’en vet cele part 	si se ne va in quelle parti 	172
165	ou la damoisele li enseigne tant 	ove la damigella gli 'nsegna, 	173
166	que ce vint aprés midi 	tanto che ciò venne apresso di mezodi 	174
167	qu’il voient en un tertre I. bel a chastel, 	che vegono davanti loro, in uno poggio, uno castello molto bello. 	175
168	et lors ataignent Il. escuiers	Allora agiungono due scudieri 	176
169	qui issoient d’un bossel 	che uscivano d’uno boschello 	177
170	et aportoit chescuns venoisons trosee detriers soi.	e aportavano amenduni cacciagione torsata di dietro a llui. 	178
171	Quant il virent la damoisele, 	E|quand’e' vidono la damigella, 	179|180
172	si descendent a pié 	si discenderono immantanente a ppiè 	181
173	et li font grant joie com a celi 	e gli fanno grande gioia |come a colei 	182|183
174	qui lor dame estoit 	che loro dama era, 	184
175	mais molt se merveillent de ce 	ma molto si maravigliarono di ciò 	185
176	qu’il la virent plorer: 	che lla vidono impiagnendo. 	186
177	si li enquierent 	Si-lla inchiesono 	187
178	que ele a. 	ch’ell’avea, 	188
179	Et ele lor dit 	ed ella lor disse 	189
180	comment ses amis avoit esté ocis, «	come suo amico era stato ucciso, 	190
181	et je meismes euisse esté morte. 	«ed io medesima, diss’ella, fosse stata morta, 	191
182	se ne fust cis frans chevaliers	se non fosse questo franco cavaliere 	192
183	qui par sa debonaireté me resqueust 	che per sua dibonarità mi riscosse, 	193
184	et se mist em peril de mort por ma vie sauver. » 	si si misse in periglio di morte per mia vita salvare». 	194
185	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Allor si consiglia con l’uno, |e quelli iscioglie immantanente sua cacciagione 	195|196
186	si la baille a son compaignon por porter, 	e la dona a suo compagnone per portarnela, 	197
187	si s’en vet vers le chastel 	si se ne va inverso il castello 	198
188	quanqu’il puet traire del roncin. 	quanto che può trarre del ronzino.	199
189	Et Boors demande a la damoisele 	eE Boordo domanda alla damigella 	200
190	comment li chastials a non 	come il castello à nome 	201
191	ou ses amis a esté ocis. « Sire, fet ele, il a non Galedon 	ove suo amico avea stato morto. |«Sire, disse ella, 	202|203
192	et l’eve par ou vos passastes a non Galede. » 	egli à nome Badelon, |e l’acqua per dove passaste Galede». 	204|205
193	Ensi parolent tant 	aln parlando vanno tanto 	206
194	qu’il sont venu jusqu’al chastel,	che sono venuti insino qua al castello, 	207
195	si le voit Boors bien seant et fort. 	si 'l vide Boordo molto forte e molto ben sedente. 	208
196	Et quant il montent ! le tertre, 	E quand’e' mosntavano il poggio, 	209
197	si voient de laiens issir dames et damoiseles a grant plenté 	si ne vidono uscire dame e damigelle a gran quantità, 	210
198|199	dont les unes karolent |et les autres dancent 	donde l’une ballavano 	211
200	et les autres joent de divers geus; 	e l’altre giucavano di diversi giuochi, 	212
201	si estoient acesmees et vestues richement et	si erano tutte acconce e vestite riccamente; 	213
202	avec venoient chevaliers jusqu’a X. 	Se con esso loro venieno cavalieri insino a cinque 	214
203	qui molt faisoient grant joie; 	che molto feciono gran gioia	215
204	et quant il voient Boort, 	quand'e' vidono Boordo. vengono tutti incontro a-llui 	216
205	si crient tuit encontre lui: « Bien viengniés, sire,	e gli dicono: Ben vegniate, sire, 	217
206|207	qui nostre dame avez delivres de mort |et rescosse des mains a ses enemis !» 	che nostra dama avete dilivera di morte e riscossa delle mani di suoi animicib. 	218
208	Et lors font descendre lor dame et lui avec : 	VAllora fanno discendere lor dama e lui apresso, 	219
209	si ne vos porroit nus conter la joie 	si non potrebbe mica l’uom contare la trasgran gioia 	220
210	qui li fu fete. A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, 	che gli fu fatta. In tal gioia e in tale festa ne menarono Boordo insin qua il mastro palagio del castello, 	221
211	si le font desarmer, 	si l fanno disarmare 	222
212	ou il volsist ou non,	o volesse |O non, 	223|224
213	et il le fist a envis, 	ed elli il fece ad invidia, 	225
214	kar il n’estoit encore mie tens de herbergier. 	ché nonn-era mica ancor tempo d’albergare. 	226
215	Ensi remist Boors laiens, 	Insi rimase Boordo là entro, 	227
216	si li firent grant joie li un et li autre 	si gli feciono molto gran gioia e l’uno e l’altro. 	228
217	Et quant il orent mengié. a damoisele demande a Boort 	eE quand’egli ebono mangiato a gran festa, la damigella domandò Boordo 	229
218	comment il avoit non ét ¡l dist 	com'egli avea nome, |ed e' le risponde 	230|231
219	qu’il avoit non Boors li Essilliés. « 	ch’egli à nome Boordo il Diseritato. 	232
220	Et vos, fet il. damoisele, 	E vo', diss’elli alla damigella, 	233
221	quels est li vostre nons ? — Sire, fet ele. je ai non Blevine de Glocedun, issi a non cist chastials ou nos somes. » A ces paroles 	com’è vostro nome? |— Sire, diss’ella, i' ò nome Blivina di Glocedin, 	234|235
		e nsì à nome questo castello 	236
		ove noi siamo». 	237
		A queste parole 	238
222	qu’il disoient, es vos I escuier 	ch’elli dicieno, |ed e' vidono venire uno scudieri 	239|240
223	qui laiens entre,	che là entro venia, 	241
224	si s’agenoille devant la damoisele. « Dame, fet il, la damoisele de Honguefort vostre cosine vos salue 	si s’aginocchia davanti la damigella: «Dama, diss elli, mia dama la damigella di Unguelforte, vostra cugina, vo saluta 	242
225	et vos mande 	e vo manda 	243
226	qu’ele vient herbergier o vos. » 	ch’ella viene ad albergare con esso voi». 	244
227	Et quant cele l’entent, 	E quando quella lo ntende, 	245
228	si saut sus si liee et si joiose 	si salta suso si lieta e si gioliolsa 	246
229	que nule plus 	che nulla più, 	247
230	et demande al vaslet 	e domanda al valletto 	248
231	ou ele est. « Dame. fet il, a mains de demie lieue pres de ci. » 	ov'ella est. |«Dama, diss’elli, ella est a meza lega presso di qui». 	249|250
232	Et ele fet maintenant sa sele metre et dist 	Ed ella fa immantanente sua sella mettere |e disse 	251|252
233	qu’ele ira encontre li; 	ch’ella andrà incontro a llei, 	253
234	si monte 	si monta 	254
235	et maine o li. VI. chevaliers 	e mena con lei v. cavalieri, 	255
236|237	et Illl. en laisse |por fere compaignie a Boort ; 	e quatro cavalieri d’agio lascia in compagnia di Boordo, 	256
238	si se part atant de laiens. 	si si parte atanto di là entro. 	257
239	Mes Boors 	Ma Boordo, 	258
240	qui les noveles a of̈es de cele de Honguefort 	che lle novelle àe avute di quella d’Unguelforte, non sa 	259
241	si ne set que fere, 	che fare, 	260
242	kar se il remaint laiens, ne puet estre 	ché se rimane là entro |e' non può essere	261|262
243|244	que l’en nel conoisse |et ce ne voldroit il por rien: 	ch’ella non lo cognosca: ciò non vorebbe elli per nulla cosa, 	263
245	si pense longuement a ceste chose. 	si pensa lungamente a questa cosa. 	264
246	Quant il ot une piece pensé, 	eQuand’egli à gran peza pensato, 	265
247	si se drece en estant 	si |si diriza in istanti 	266|267
248	et demande ses armes tost et isnel. « Sire, font cil 	e domanda sue armi tosto e snello. VaSire, dissono coloro 	268
249	qui avec lui estoient, 	che con esso lui erano, 	269
250	qu’en volés vos fere ? — Je me vueil. fet il, un poi aler esbatre jusqu’a cel boschel, 	che volete voi fare? |— l' mi voglio, diss’elli, andare a sbattere un poco in quello boschetto, 	270|271
251	si revendrai orendroit. » 	si ritornerò oraindiritto». 	272
252	Cil n’osent son commandement refuser. 	E que' non osano suo comandamento rifiutare, 	273
253	si aportent ses armes 	sì gli portano sue armi 	274
254	et il les prent. 	ed e' le prende; 	275
255	Et quant il est armés, 	e quand’egli è armato, 	276
256	si monte en son cheval a, 	e' monta in suo cavallo, 	277
257	si se part de laiens par une posterne par devers le boschel », 	si si parte di là entro per la postierna diverso il boschello, 	278
258	ne ne velt	né non vuole 	279
259	que nus li face compaignie. 	che nullo gli faccia compagnia. 	280
260	Et quant il est l. poi eslongiés del chastel, 	quand’egli è un poco islungato del castello, 	281
261	si torne a destre vers une forest 	si torna a destra partita per diverso una foresta 	282
262	qu’il voit haute et espesse 	ch’elli vide alta e spessa, 	283
263	et s’en vet al ferir des esperons; 	si vi si mette al fedire delli sproni 	284
264	si se fiert en la forest 	e si fiede nello spesso della foresta 	285
265	et eirre tant 	e va tanto 	286
266|267	qu’il li anuite ; |et lors escote, 	ch’elli anottò. AIlora ascolta, 	287
268	si ot une cloche soner 	sì ode una campana sonare 	288
269	et il sot bien tantost	ed e'sa ben tantosto 	289
270	que c’estoit hermitages: 	che ciò è romitaggio: 	290
271	si s’en torne cele part 	si ritorna in quelle parti	291
272	et descent a l’uis,	e discende a l’uscio, 	292
273	si apele et li hermites li oevre son huis, 	si chiama |e l romito gli apre l’uscelletto,	293|294
274	si a le reçoit a bele chiere 	si-llo riceve a bella cera 	295
275	et le desarme il meismes, 	e l disarmò elli medesimo; 	296
276|277	puis vet cueillir de l’erbe al cheval |et por fere lit al chevalier.	poscia va a cogliere dell’erba al cavallo lel per fare el letto del cavaliere.	297
278	Ensi est Boors remés chiés l’ermite, 	ilnsi rimase Boordo a casa il romito, 	298
279	et la damoisele de Glocedun chevalcha tant a 	e la damigella di Locidin cavalca |tanto ch’ella fu partita di suo castello 	299|300
280	qu’ele encontra cele de Honguefort; 	ch’ella trovò quella d’Unguelforte.	301
281	si s’entresaluent, 	Si si trasalutano, 	302
282	mais molt se merveille cele de Glocedun, 	ma molto si maraviglia quella di Glocedin 	303
283	quant ele voit sa cosine si atornee et tote sa maisnie: 	quand’ella vide sua cugina si aconcia e tutta sua masnada, 	304
284	si li demande l’acheison 	si non si può tenere |ch’ella non la domandi la cagione. 	305|306
285	et cele li conte de chief en chief 	E quella le conta di capo in capo 	307
286	et dist 	e dice 	308
287	que jamés ne finera d’errer 	che giamai non finirà d’andare infino a tanto 	309
288	jusqu’el ait le chevalier trové, « 	ch’ella abbia il cavaliere trovato, 	310
289	et bien sachiés, fet ele, bele cosine, 	e ben sapiate, bella cugina,	311
290	que c’est li plus bials chevaliers et li mieldres 	che ciò è il più bel cavaliere e l miglior 	312
291	que je onques mes veisse, 	ch’io unque vedessi, 	313
292	et si est encore jovenes enfés; 	si è ancora giovane infante; 	314
293|294	si ai tel duel, |quant il me membre de la vilenie	sì ò tal duolo qualunche ora mi ricordo della villania	315
